description,price_$,decade,tag,cat
Oregon State University Champion Tag Shirt,150.0,1960,,
Hardwick's Dinghy Derby Shirt,250.0,1960,,
Led Zeppelin Shirt,300.0,1970,Led Zeppelin,Music
Star Wars Hildenbrandt Iron On Shirt,100.0,1970,Star Wars,Entretainment
George Thorogood And The Destroyers Rounder Records Shirt,150.0,1970,,
Black Sabbath Shirt,200.0,1970,Black Sabbath,Music
The Beatles 10th Anniversary Shirt,175.0,1970,Beatles,Music
Kull The Conqueror Marvel Comics Shirt,100.0,1970,,
Grateful Dead Bertha Shirt,400.0,1970,Grateful Dead,Music
Yes Tour Shirt,150.0,1970,,
Wings Over America Shirt,200.0,1970,,
The Beatles Rise Again USA Tour Shirt,250.0,1970,Beatles,Music
George Thorogood And The Destroyers Rounder Records Shirt,125.0,1970,,
Rolling Stones Dragon Shirt,800.0,1970,Rolling Stones,Music
John Belushi Samurai Delicatessen Shirt,125.0,1970,,
Rolling Stones Myrtle Beach Concert Shirt,600.0,1970,Rolling Stones,Music
Beatles Butcher Album Cover Shirt,300.0,1970,Beatles,Music
Todd Rundgren Utopia Shirt,100.0,1970,,
Bob Dylan Universal Amphitheater Concert Shirt,400.0,1970,Bob Dylan,Music
Todd Rundgren Utopia Shirt,125.0,1970,,
REO Speedwagon Lost In A Dream Tour Shirt,150.0,1970,,
Aerosmith American Tour Shirt,200.0,1970,Aerosmith,Music
Queen News Of The World Shirt,125.0,1970,,
Beatles 10th Anniversary Promo Shirt,200.0,1970,Beatles,Music
Led Zeppelin United States Of America Tour Shirt,250.0,1970,Led Zeppelin,Music
Commodores European Tour Jacket,300.0,1970,,
Fleetwood Mac The Tusk Tour Shirt,400.0,1970,Fleetwood Mac,Music
Van Halen World Tour Shirt,400.0,1970,Van Halen,Music
Group Therapy Orgy Shirt,65.0,1970,,
Rush Farewell To Kings Tour Shirt,200.0,1970,,
Pink Floyd Shirt,250.0,1970,Pink Floyd,Music
Carly Simon Boys In The Trees Tour Shirt,500.0,1970,,
Rolling Stone Magazine Ralph Steadman Shirt,600.0,1970,,
Fleetwood Mac Penguin Promo Shirt,650.0,1970,Fleetwood Mac,Music
Black Sabbath Tour Shirt,1.0,1970,Black Sabbath,Music
Columbia Records Epic Records Custom Labels Promo Shirt,750.0,1970,,
Fleetwood Mac Warner Brothers Promo Shirt,250.0,1970,Fleetwood Mac,Music
Led Zeppelin Tour Shirt,250.0,1970,Led Zeppelin,Music
The Who Shirt,400.0,1970,The Who,Music
Rush Tour Of The Hemispheres Shirt,150.0,1970,,
Led Zeppelin Rules America Shirt,500.0,1970,Led Zeppelin,Music
George Harrison Living In The Material World Shirt,400.0,1970,,
Fleetwood Mac Rolling Stones Shirt,800.0,1970,Fleetwood Mac,Music
Journey Evolution Jersey Shirt,125.0,1970,Journey,Music
Mickey Mouse Disney Shirt,125.0,1970,Disney,Entretainment
Cigar Smokers Have Nice Butts Shirt,100.0,1970,,
Bob Seger On Tour Shirt,175.0,1970,Bob Seger,Music
Deep Purple See Factor Fall Tour Crew Shirt,300.0,1970,,
Laserock Shirt,50.0,1970,,
Black Sabbath World Tour Shirt,600.0,1970,Black Sabbath,Music
Fleetwood Mac Shirt,300.0,1970,Fleetwood Mac,Music
Eagles Hotel California Shirt,250.0,1970,Eagles,Music
Eagles Shirt,250.0,1970,Eagles,Music
Rush Tour Of The Hemispheres Shirt,250.0,1970,,
The Who FM Productions Long Sleeve Shirt,500.0,1970,The Who,Music
Lynyrd Skynyrd Tour of Japan & Great Britain Showco Shirt,1.75,1970,,
Journey Evolution Shirt,150.0,1970,Journey,Music
The D.P.'s If Ya Know What I Mean Shirt,150.0,1970,,
McManus Enterprises Complete Production Service Shirt,50.0,1970,,
Weed Leaf Star Shirt,60.0,1970,,
Weedies Shirt,80.0,1970,,
Kona Gold Shirt,80.0,1970,,
Hash Bash Ann Arbor Shirt,200.0,1970,,
Aerosmith Right In The Nuts Jersey Shirt,300.0,1970,Aerosmith,Music
Capitol Records Promo Sweatshirt,175.0,1970,,
Rush Tour Of The Hemispheres Shirt,200.0,1970,,
Led Zeppelin Shirt,400.0,1970,Led Zeppelin,Music
Herman Brood I'm In A Good Mood Shirt,50.0,1970,,
Ramones Rocket To Russia Sire Records Promo Shirt,750.0,1970,Ramones,Music
Black Sabbath US Tour Shirt,600.0,1970,Black Sabbath,Music
The Who Maximum R&B Shirt,200.0,1970,The Who,Music
Lynyrd Skynyrd Street Survivors Shirt,250.0,1970,,
Grateful Dead Concert Jacket,500.0,1970,Grateful Dead,Music
The Who Summer Tour Shirt,200.0,1970,The Who,Music
Ringo Starr Goodnight Vienna Promo Shirt,300.0,1970,,
